quarter,year,season,vintage_date,actual_print_date,model,loss,point,actual,n_train,w,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,train_quarters,max_input_date,last_train_outcome_date,gbv_l1,gbv_l2,lag1_print_date,lag2_print_date,n_parameters,q10,q90,n_cal,evidence_status,info_set,variant,source_reference,error_musd,relative_error_pct,covered_80
2023Q1,2023,1,2023-02-14,2023-05-09,free_w_usd,usd,1859.34297557,1818,8,0.889658023439,13.540497665,12.9447704688,17.0125914964,12.3036617749,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4,2023-02-14,2023-02-14,13500,15600,2023-02-14,2022-11-01,5,,,0,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,41.3429755698,2.27409106544,
2023Q1,2023,1,2023-02-14,2023-05-09,fixed_2_3_usd,usd,1873.52461166,1818,8,0.666666666667,13.1938352934,14.1385801349,17.3083157197,12.0310433009,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4,2023-02-14,2023-02-14,13500,15600,2023-02-14,2022-11-01,4,,,0,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,55.5246116566,3.05415905702,
2023Q1,2023,1,2023-02-14,2023-05-09,free_w_relative,relative,1890.8663833,1818,8,0.78689844451,13.5570144094,13.6864496595,17.2292190944,12.2369217473,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4,2023-02-14,2023-02-14,13500,15600,2023-02-14,2022-11-01,5,,,0,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,72.8663832979,4.00805188657,
2023Q1,2023,1,2023-02-14,2023-05-09,fixed_2_3_relative,relative,1883.43277425,1818,8,0.666666666667,13.2636110862,14.4027374762,17.4532306179,12.0854776691,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4,2023-02-14,2023-02-14,13500,15600,2023-02-14,2022-11-01,4,,,0,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,65.4327742465,3.59916249981,
2023Q1,2023,1,2023-02-14,2023-05-09,K0_fixed_operational,,,1818,0,0.666666666667,,,,,,,,,,,,,,,,inherited_operational_abstention,No admissible same-season lambda observations: season=1; variant=ex_covid,,,,,
2023Q2,2023,2,2023-05-09,2023-08-03,free_w_usd,usd,2541.80916447,2484,9,0.894890115288,13.3902430702,12.9191487791,17.0054749768,12.3102024825,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1,2023-05-09,2023-05-09,20400,13500,2023-05-09,2023-02-14,5,,,1,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,57.8091644694,2.32726104949,
2023Q2,2023,2,2023-05-09,2023-08-03,fixed_2_3_usd,usd,2559.08300441,2484,9,0.666666666667,12.9850459964,14.1385801349,17.3083157197,12.0310433009,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1,2023-05-09,2023-05-09,20400,13500,2023-05-09,2023-02-14,4,,,1,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,75.0830044109,3.02266523393,
2023Q2,2023,2,2023-05-09,2023-08-03,free_w_relative,relative,2592.05036791,2484,9,0.777094829469,13.3512194959,13.7422152735,17.2475775551,12.224435042,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1,2023-05-09,2023-05-09,20400,13500,2023-05-09,2023-02-14,5,,,1,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,108.050367907,4.34985378048,
2023Q2,2023,2,2023-05-09,2023-08-03,fixed_2_3_relative,relative,2606.89548319,2484,9,0.666666666667,13.1026757844,14.4027374762,17.4532306179,12.0854776691,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1,2023-05-09,2023-05-09,20400,13500,2023-05-09,2023-02-14,4,,,1,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,122.89548319,4.9474832202,
2023Q2,2023,2,2023-05-09,2023-08-03,K0_fixed_operational,inherited_K0_policy,2499.93873085,2484,1,0.666666666667,,,,,,2023-05-09,,,,,,,,,,frozen_operational_comparator_PIT_post_letter,K0 API as_of=guide_date+1; recorded source max date must remain <=guide date,ex_covid,,15.9387308534,0.641655831457,
2023Q3,2023,3,2023-08-03,2023-11-01,free_w_usd,usd,3267.70421388,3397,10,0.902299726363,13.403655288,12.7348989095,16.9953838554,12.3194769033,2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2,2023-08-03,2023-08-03,19100,20400,2023-08-03,2023-05-09,5,,,2,chronological_PIT_post_letter_no_target_guide_used,prior-quarter print available at same-day letter close; target outcome and target GBV excluded,,,-129.29578612,-3.80617562907,
